Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2122.995815
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.617
Afghanistan,AFG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,52
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..
Afghanistan,AFG,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,..
Afghanistan,AFG,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,..
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,17.1917
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,85.3
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,14.1
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.39392506
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,22032.46085
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.769
Albania,ALB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.3
Albania,ALB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,97.32247147
Albania,ALB,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,93.22809566
Albania,ALB,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,101.2399324
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,82.6137
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.137
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.86434777
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15836.09444
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.129
Algeria,DZA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,20
Algeria,DZA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,104.5502701
Algeria,DZA,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,106.1530228
Algeria,DZA,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,103.0180283
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,74.8319
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.346
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.17958624
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.752
American Samoa,ASM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..
American Samoa,ASM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..
American Samoa,ASM,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,..
American Samoa,ASM,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,..
American Samoa,ASM,Individuals using the Internet (% of population),IT.NET.USER.ZS,..
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.7947977
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,68470.07595
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.016
Andorra,AND,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.6
Andorra,AND,"School enrollment, secondary (% gross)",SE.SEC.ENRR,98.50987244
Andorra,AND,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,98.01603699
Andorra,AND,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,98.96034241
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.4855
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.75487663
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9588.241295
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.246
Angola,AGO,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,39.6
Angola,AGO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..
Angola,AGO,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,..
